"","municipio_sae","clave_provincial","municipio_code","number_mun_code","municipio","tipo","rama","escuela","number_escuela","cue","cs","dmclc","dmc","cupo_total","long","lat","ubicacion_cue","zona","cupo","clusters","clusters_2","cluster_asignado_2","muni_cluster"
"88","LEZAMA","0137PP0006","137","3","LEZAMA","INICIAL Y PRIMARIA","PP","6","1","603276","0","0","5","5",-57.90319982,-35.9405713,"Rural Disperso","Rural","1273","2","2",1,"137-1"
"89","LEZAMA","0137PP0007","137","3","LEZAMA","INICIAL Y PRIMARIA","PP","7","1","603273","25","0","25","50",-58.00221773,-35.94854147,"Rural Disperso","Rural","1273","2","2",2,"137-2"
"90","LEZAMA","0137PP0009","137","3","LEZAMA","INICIAL Y PRIMARIA","PP","9","1","603271","0","0","2","2",-57.95732175,-35.82201596,"Rural Disperso","Rural","1273","2","2",1,"137-1"
"91","LEZAMA","0137PP0011","137","3","LEZAMA","INICIAL Y PRIMARIA","PP","11","2","603267","0","0","99","99",-57.89196068,-35.8732892,"Urbano","Urbano","1273","2","2",1,"137-1"
"92","LEZAMA","0137SC0001","137","3","LEZAMA","INICIAL Y PRIMARIA","SC","1","1","616587","200","0","200","400",-57.89157687,-35.87224732,"12","Urbano","1273","2","2",1,"137-1"
"93","LEZAMA","0137MS0001","137","3","LEZAMA","SECUNDARIAS","MS","1","1","603266","0","40","0","40",-57.89448285,-35.87962211,"Urbano","Urbano","1273","2","2",1,"137-1"
"94","LEZAMA","cluster","137","cluster","LEZAMA","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster",-57.8814995383333,-35.8588273991667,"cluster","cluster","cluster","cluster","cluster",1,"137-1"
"95","LEZAMA","cluster","137","cluster","LEZAMA","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster",-58.032401175,-35.906028225,"cluster","cluster","cluster","cluster","cluster",2,"137-2"
"96","PELLEGRINI","0080EE0501","80","2","PELLEGRINI","INICIAL Y PRIMARIA","EE","501","3","607959","35","0","60","95",-63.1676005,-36.26755598,"Urbano","Urbano","1353","2","2",1,"80-1"
"97","PELLEGRINI","0080JI0901","80","2","PELLEGRINI","INICIAL Y PRIMARIA","JI","901","3","607959","0","0","190","190",-63.1676005,-36.26755598,"Urbano","Urbano","1353","2","2",1,"80-1"
"98","PELLEGRINI","0080JI0902","80","2","PELLEGRINI","INICIAL Y PRIMARIA","JI","902","3","602159","12","0","12","24",-63.16678624,-36.2699814,"Urbano","Urbano","1353","2","2",1,"80-1"
"99","PELLEGRINI","0080JI0903","80","2","PELLEGRINI","INICIAL Y PRIMARIA","JI","903","3","602115","0","0","64","64",-63.25967035,-36.34211481,"Rural Agrupado","Rural","1353","2","2",1,"80-1"
"100","PELLEGRINI","0080JM0001","80","2","PELLEGRINI","INICIAL Y PRIMARIA","JM","1","1","602114","57","0","57","114",-63.16862072,-36.26143464,"Urbano","Urbano","1353","2","2",1,"80-1"
"101","PELLEGRINI","0080JS0001","80","2","PELLEGRINI","INICIAL Y PRIMARIA","JS","1","1","621367","12","0","12","24",-63.07760887,-36.20446839,"Rural Agrupado","Rural","1353","2","2",1,"80-1"
"102","PELLEGRINI","0080JS0002","80","2","PELLEGRINI","INICIAL Y PRIMARIA","JS","2","1","621367","0","0","4","4",-63.07760887,-36.20446839,"Rural Agrupado","Rural","1353","2","2",1,"80-1"
"103","PELLEGRINI","0080PP0001","80","2","PELLEGRINI","INICIAL Y PRIMARIA","PP","1","1","621315","0","0","179","179",-63.28041939,-36.03252959,"Rural Disperso","Rural","1353","2","2",2,"80-2"
"104","PELLEGRINI","0080PP0002","80","2","PELLEGRINI","INICIAL Y PRIMARIA","PP","2","1","602158","0","0","1","1",-63.16769649,-36.26720512,"Urbano","Urbano","1353","2","2",1,"80-1"
"105","PELLEGRINI","0080PP0006","80","2","PELLEGRINI","INICIAL Y PRIMARIA","PP","6","1","614668","14","0","14","28",-63.3725833,-36.00867036,"Rural Disperso","Rural","1353","2","2",2,"80-2"
"106","PELLEGRINI","0080PP0011","80","2","PELLEGRINI","INICIAL Y PRIMARIA","PP","11","2","602113","0","0","4","4",-63.07748018,-36.20444219,"Rural Agrupado","Rural","1353","2","2",1,"80-1"
"107","PELLEGRINI","0080PP0018","80","2","PELLEGRINI","INICIAL Y PRIMARIA","PP","18","2","602112","0","0","2","2",-63.203021,-36.216659,"Rural Disperso","Rural","1353","2","2",1,"80-1"
"108","PELLEGRINI","0080PP0019","80","2","PELLEGRINI","INICIAL Y PRIMARIA","PP","19","2","615866","0","0","2","2",-63.28033024,-36.0330773,"Rural Disperso","Rural","1353","2","2",2,"80-2"
"109","PELLEGRINI","0080PP0020","80","2","PELLEGRINI","INICIAL Y PRIMARIA","PP","20","2","602110","0","0","6","6",-63.208196,-36.314303,"Rural Disperso","Rural","1353","2","2",1,"80-1"
"110","PELLEGRINI","0080PP0024","80","2","PELLEGRINI","INICIAL Y PRIMARIA","PP","24","2","602109","23","0","23","46",-62.95919873,-36.2970683,"Rural Disperso","Rural","1353","2","2",1,"80-1"
"111","PELLEGRINI","0080SC0001","80","2","PELLEGRINI","INICIAL Y PRIMARIA","SC","1","1","607957","157","0","210","367",-63.25980442,-36.34220184,"Rural Agrupado","Rural","1353","2","2",1,"80-1"
"112","PELLEGRINI","0080MA0001","80","2","PELLEGRINI","SECUNDARIAS","MA","1","1","607909","0","25","59","84",-63.2028215,-36.31027035,"Rural Disperso","Rural","1353","2","2",1,"80-1"
"113","PELLEGRINI","cluster","80","cluster","PELLEGRINI","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster",-63.1545510264286,-36.269266385,"cluster","cluster","cluster","cluster","cluster",1,"80-1"
"114","PELLEGRINI","cluster","80","cluster","PELLEGRINI","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster",-63.3111109766667,-36.0247590833333,"cluster","cluster","cluster","cluster","cluster",2,"80-2"
"115","PILA","0082EE0501","82","2","PILA","INICIAL Y PRIMARIA","EE","501","3","621228","11","0","11","22",-58.14389792,-36.00177389,"Urbano","Urbano","1195","2","2",1,"82-1"
"116","PILA","0082JI0901","82","2","PILA","INICIAL Y PRIMARIA","JI","901","3","621228","0","0","197","197",-58.14389792,-36.00177389,"Urbano","Urbano","1195","2","2",1,"82-1"
"117","PILA","0082JI0902","82","2","PILA","INICIAL Y PRIMARIA","JI","902","3","602755","15","0","15","30",-58.14313842,-36.00377623,"Urbano","Urbano","1195","2","2",1,"82-1"
"118","PILA","0082JS0001","82","2","PILA","INICIAL Y PRIMARIA","JS","1","1","602756","0","0","8","8",-58.55015256,-36.3166427,"Rural Agrupado","Rural","1195","2","2",2,"82-2"
