municipio_sae;clave_provincial;municipio_code;number_mun_code;municipio;tipo;rama;escuela;number_escuela;cue;cs;dmclc;dmc;cupo_total;long;lat;ubicacion_cue;zona;cupo;clusters;clusters_2;cluster_asignado_2;muni_cluster;n
A BROWN;0004JI0935;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;76;3;612686;0;0;210;210;-58.38473;-34.89886;Urbano;Urbano;88622;12;12;1;4-1;30
A BROWN;0004JI0936;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;77;3;614700;216;0;218;434;-58.36078;-34.88560;Urbano;Urbano;88622;12;12;1;4-1;30
A BROWN;0004JI0937;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;78;3;613471;195;0;191;386;-58.41719;-34.81644;Urbano;Urbano;88622;12;12;12;4-12;27
A BROWN;0004JI0939;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;80;3;613505;0;0;177;177;-58.43160;-34.81986;Urbano;Urbano;88622;12;12;12;4-12;27
A BROWN;0004JI0940;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;81;3;614958;151;0;186;337;-58.37900;-34.87916;Urbano;Urbano;88622;12;12;1;4-1;30
A BROWN;0004JI0942;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;83;3;615720;0;0;176;176;-58.35981;-34.82862;Urbano;Urbano;88622;12;12;11;4-11;24
A BROWN;0004JI0943;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;84;3;615721;0;0;158;158;-58.39862;-34.85004;Urbano;Urbano;88622;12;12;10;4-10;25
A BROWN;0004JI0944;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;85;3;615826;0;0;245;245;-58.37326;-34.83545;Urbano;Urbano;88622;12;12;4;4-4;20
A BROWN;0004JI0945;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;86;3;616985;0;0;137;137;-58.37189;-34.84686;Urbano;Urbano;88622;12;12;4;4-4;20
A BROWN;0004JI0946;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;87;3;616973;0;0;142;142;-58.32759;-34.78639;Urbano;Urbano;88622;12;12;2;4-2;20
