municipio_sae;clave_provincial;municipio_code;number_mun_code;municipio;tipo;rama;escuela;number_escuela;cue;cs;dmclc;dmc;cupo_total;long;lat;ubicacion_cue;zona
A BROWN;0004JI0951;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;951;3;620069;80;0;122;202;-58.32891584;-34.76979248;Urbano                        ;Urbano
A BROWN;0004JI0952;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;952;3;620837;0;0;127;127;-58.39622227;-34.83454599;Urbano                        ;Urbano
A BROWN;0004JI0953;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;953;3;622066;141;0;163;304;-58.43669339;-34.83290825;Urbano                        ;Urbano
A BROWN;0004JI0954;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;954;3;622923;0;0;74;74;-58.41975913;-34.83014795;Urbano                        ;Urbano
A BROWN;0004JI0955;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;955;3;622924;0;0;133;133;-58.33553662;-34.77150629;Urbano                        ;Urbano
A BROWN;0004JI0956;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;956;3;623155;0;0;84;84;-58.33683291;-34.79746323;Urbano                        ;Urbano
A BROWN;0004JI0957;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;957;3;623307;0;0;110;110;-58.32722333;-34.78977978;Urbano                        ;Urbano
A BROWN;0004JI0958;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;958;3;623338;0;0;93;93;-58.35447466;-34.85669773;Urbano                        ;Urbano
A BROWN;0004JI0959;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;959;3;623516;0;0;120;120;-58.39361673;-34.8786966;12;Urbano
A BROWN;0004JI0960;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;960;3;623515;0;0;150;150;-58.38117667;-34.85554897;12;Urbano
A BROWN;0004PP0001;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;1;1;607598;0;0;423;423;-58.38429135;-34.79731691;Urbano                        ;Urbano
A BROWN;0004PP0002;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;2;1;601555;140;0;149;289;-58.39182364;-34.81509094;Urbano                        ;Urbano
A BROWN;0004PP0003;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;3;1;608666;0;0;676;676;-58.39416785;-34.82544577;Urbano                        ;Urbano
A BROWN;0004PP0004;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;4;1;601005;0;0;744;744;-58.38846324;-34.89405729;Urbano                        ;Urbano
A BROWN;0004PP0005;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;5;1;601901;0;0;307;307;-58.3931465;-34.79322108;Urbano                        ;Urbano
A BROWN;0004PP0006;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;6;1;601900;0;493;0;493;-58.3960197;-34.8001098;Urbano                        ;Urbano
A BROWN;0004PP0007;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;7;1;601904;0;0;310;310;-58.37455036;-34.7859414;Urbano                        ;Urbano
A BROWN;0004PP0008;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;8;1;609938;275;0;401;676;-58.3637114;-34.84287804;Urbano                        ;Urbano
A BROWN;0004PP0009;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;9;1;600878;0;0;665;665;-58.3837521;-34.86099231;Urbano                        ;Urbano
A BROWN;0004PP0010;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;10;2;609832;0;0;485;485;-58.33618415;-34.79818606;Urbano                        ;Urbano
A BROWN;0004PP0011;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;11;2;603725;248;0;248;496;-58.35437445;-34.85673385;Urbano                        ;Urbano
A BROWN;0004PP0012;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;12;2;606578;0;0;391;391;-58.39434888;-34.80833591;Urbano                        ;Urbano
A BROWN;0004PP0013;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;13;2;610871;0;0;379;379;-58.38458748;-34.82413237;Urbano                        ;Urbano
A BROWN;0004PP0014;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;14;2;606994;291;0;307;598;-58.35879943;-34.78071694;Urbano                        ;Urbano
A BROWN;0004PP0015;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;15;2;606998;179;0;210;389;-58.34664573;-34.76215019;Urbano                        ;Urbano
A BROWN;0004PP0016;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;16;2;601903;0;0;378;378;-58.38761764;-34.79677957;Urbano                        ;Urbano
A BROWN;0004PP0017;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;17;2;607586;280;0;400;680;-58.41774661;-34.81592158;Urbano                        ;Urbano
A BROWN;0004PP0018;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;18;2;610182;71;0;496;567;-58.35482739;-34.76651616;Urbano                        ;Urbano
A BROWN;0004PP0019;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;19;2;607594;0;0;340;340;-58.36975491;-34.81892691;Urbano                        ;Urbano
A BROWN;0004PP0020;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;20;2;601455;200;0;400;600;-58.40921648;-34.82607428;Urbano                        ;Urbano
A BROWN;0004PP0021;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;21;2;600877;89;0;514;603;-58.39318084;-34.8602516;Urbano                        ;Urbano
A BROWN;0004PP0022;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;22;2;607607;0;0;457;457;-58.36245126;-34.80251906;Urbano                        ;Urbano
A BROWN;0004PP0023;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;23;2;607289;313;0;682;995;-58.39344733;-34.8786225;Urbano                        ;Urbano
A BROWN;0004PP0024;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;24;2;601006;255;0;832;1087;-58.39708601;-34.89645401;Urbano                        ;Urbano
A BROWN;0004PP0025;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;25;2;606478;0;0;218;218;-58.37170884;-34.80173592;Urbano                        ;Urbano
A BROWN;0004PP0026;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;26;2;604354;154;0;340;494;-58.38792469;-34.86685942;Urbano                        ;Urbano
A BROWN;0004PP0027;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;27;2;607597;0;0;425;425;-58.38465746;-34.78559581;Urbano                        ;Urbano
A BROWN;0004PP0028;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;28;2;604380;0;0;488;488;-58.38247948;-34.83394879;Urbano                        ;Urbano
A BROWN;0004PP0029;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;29;2;607242;228;0;346;574;-58.31853751;-34.78692237;Urbano                        ;Urbano
A BROWN;0004PP0030;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;30;2;602720;186;0;186;372;-58.39295772;-34.84926347;Urbano                        ;Urbano
A BROWN;0004PP0031;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;31;2;607006;978;0;1081;2059;-58.34740653;-34.87819218;Urbano                        ;Urbano
A BROWN;0004PP0032;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;32;2;602638;438;0;438;876;-58.34705765;-34.78205908;Urbano                        ;Urbano
A BROWN;0004PP0033;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;33;2;607378;81;0;461;542;-58.4071905;-34.87753924;Urbano                        ;Urbano
A BROWN;0004PP0034;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;34;2;601718;250;0;250;500;-58.41062123;-34.80913059;Urbano                        ;Urbano
A BROWN;0004PP0035;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;35;2;608072;0;0;519;519;-58.38082563;-34.88994252;Urbano                        ;Urbano
A BROWN;0004PP0036;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;36;2;610183;251;0;497;748;-58.33418627;-34.76152031;Urbano                        ;Urbano
A BROWN;0004PP0037;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;37;2;601352;165;0;800;965;-58.37910613;-34.87911199;Urbano                        ;Urbano
A BROWN;0004PP0038;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;38;2;607243;235;0;406;641;-58.32298305;-34.79189051;Urbano                        ;Urbano
A BROWN;0004PP0039;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;39;2;601891;243;0;243;486;-58.40834045;-34.83925176;Urbano                        ;Urbano
A BROWN;0004PP0040;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;40;2;606571;0;0;397;397;-58.36657279;-34.8095907;Urbano                        ;Urbano
A BROWN;0004PP0041;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;41;2;603864;303;0;303;606;-58.34597072;-34.82135438;Urbano                        ;Urbano
A BROWN;0004PP0042;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;42;2;604384;155;0;155;310;-58.35201173;-34.80927702;Urbano                        ;Urbano
